Date,Open,High,Low,Close,Volume
5/30/2014,558.78,565.05,557.2,562.02,83436300
5/29/2014,556.3,562.33,555.32,558.45,116323876
5/28/2014,554.32,557.93,553.03,557.34,108157626
5/27/2014,543.55,552.75,542.49,552.75,127182990
5/26/2014,541.43,544.93,536.27,544.06,85780485
5/23/2014,542.44,545.3,540.51,541.49,85739404
5/22/2014,543.35,547.2,541.43,541.73,130117230
5/21/2014,537.95,543.93,533.19,543.88,102987620
5/20/2014,531,537.93,527.69,537.52,105111597
5/19/2014,530.31,534.68,525.82,533.04,106137980
5/16/2014,522,529.49,519.39,529.49,83778087
5/15/2014,529.39,537.27,512.41,524.05,132543153
5/14/2014,510.16,529.59,509.82,529.53,108324190
5/13/2014,508.76,518.45,508.51,513.91,98640761
5/12/2014,536.82,536.82,512.25,517.05,99260848
5/9/2014,522.82,542.56,522.7,542.46,118856310
5/8/2014,550.75,550.75,525.37,527.09,146492388
5/7/2014,558.04,561.56,553.21,559.97,52416806
5/6/2014,561.86,562.36,545.97,555.11,100641650
5/5/2014,578.45,580.11,564.47,564.85,76075700
4/29/2014,570.64,578.21,570.64,578,50435143
4/28/2014,579.05,580.7,573.1,573.1,58053730
4/25/2014,571.71,580.74,571.71,578.92,64320453
4/24/2014,568.38,571.57,566.94,570.46,56695829
4/23/2014,569.83,573.39,567.04,569.36,71202652
4/22/2014,560.63,569.87,556.47,569.87,99105330
4/21/2014,564.21,568.44,558.14,558.14,95569640
4/18/2014,580.89,580.89,565.33,565.33,116972898
4/17/2014,580.39,583.51,575.83,580.31,117693160
4/16/2014,583.64,585.51,567.61,574.29,149242265
4/15/2014,596,597.99,586.09,586.09,131668530
4/14/2014,602.67,602.7,596.05,596.11,128080220
4/11/2014,597.87,602.01,594.96,600.57,106926180
4/10/2014,603.25,608.89,600.43,601.33,114247627
4/8/2014,600.71,603.25,598.52,603.25,127466174
4/7/2014,595.72,602.55,595.35,600.57,115651254
4/4/2014,589.9,593.72,588.34,593.04,119718455
4/3/2014,584.45,590.91,582.83,589.44,105522983
4/2/2014,584.17,586.5,574.4,581.67,146779523
4/1/2014,590.93,593.03,582.3,583.85,173005169
3/31/2014,594.29,597.22,591.57,591.57,119514830
3/28/2014,592.82,595.7,590.59,594.29,122367440
3/27/2014,588.94,591.7,582.81,590.14,151335930
3/26/2014,603.54,603.68,587.52,588.06,259085060
3/25/2014,609.01,609.46,601.85,601.85,261346500
3/24/2014,606.55,609.2,604.18,607.55,194824345
3/21/2014,600.26,607.22,600.26,601.75,229955020
3/20/2014,607.39,608.51,600.03,600.26,192916978
3/19/2014,600.73,605.91,600.42,605.59,192008410
3/18/2014,602.01,603.21,597.78,599.85,205401807
3/17/2014,603.05,603.24,598.7,600.36,170181160
3/14/2014,596.2,600.68,594.51,596.83,163989570
