Ngày,"Số người tiếp cận được","CPC (Chi phí trên mỗi lượt click vào liên kết)","Tần suất","Số lượt click vào liên kết","Chỉ số Signup","CPM (Chi phí trên mỗi 1.000 lần hiển thị)","Số tiền đã chi tiêu (VND)","CTR (Tỷ lệ nhấp vào liên kết)","Bình luận về bài viết","Số lượt chia sẻ bài viết","Bắt đầu báo cáo","Kết thúc báo cáo"
2019-06-05,346,6090.16666667,1.0462427745665,6,57.66666667,100941.98895028,36541,1.6574585635359,,,2019-06-05,2019-06-05
2019-09-12,1682,8990,1.0398335315101,6,280.33333333,30840.48027444,53940,0.34305317324185,,,2019-09-12,2019-09-12
2019-03-04,931,16355.5,1.2073039742213,6,155.16666667,87306.93950178,98133,0.53380782918149,1,1,2019-03-04,2019-03-04
2019-05-06,356,12321.16666667,1.1629213483146,6,59.33333333,178567.63285024,73927,1.4492753623188,,,2019-05-06,2019-05-06
2019-03-02,1021,21481.6,1.1860920666014,5,204.2,88693.6416185,107408,0.41288191577209,,,2019-03-02,2019-03-02
2019-06-17,346,9274,1.1156069364162,5,69.2,120129.53367876,46370,1.2953367875648,,,2019-06-17,2019-06-17
2019-07-18,1009,34616.4,1.0049554013875,5,201.8,170692.30769231,173082,0.4930966469428,1,,2019-07-18,2019-07-18
2019-06-14,255,7248,1.2823529411765,5,51,110825.6880734,36240,1.5290519877676,,,2019-06-14,2019-06-14
2019-08-22,422,7995.25,1.0710900473934,4,105.5,70754.42477876,31981,0.88495575221239,,,2019-08-22,2019-08-22
2019-11-03,1095,6484.25,1.1150684931507,4,273.75,21242.42424242,25937,0.32760032760033,,,2019-11-03,2019-11-03
2019-06-11,200,12514,1.23,4,50,203479.67479675,50056,1.6260162601626,1,,2019-06-11,2019-06-11
2019-06-15,204,8121.5,1.25,4,51,127396.07843137,32486,1.5686274509804,,,2019-06-15,2019-06-15
2019-03-03,860,25095.5,1.1523255813953,4,215,101293.64278507,100382,0.40363269424823,,,2019-03-03,2019-03-03
2019-03-01,699,35237,1.1802575107296,3,233,128134.54545455,105711,0.36363636363636,,,2019-03-01,2019-03-01
2019-08-05,568,15464.33333333,1.1549295774648,3,189.33333333,70721.03658537,46393,0.45731707317073,,,2019-08-05,2019-08-05
2019-10-02,277,5637.5,1.0758122743682,2,138.5,37835.5704698,11275,0.67114093959732,,,2019-10-02,2019-10-02
2019-06-19,214,11909.5,1.1448598130841,2,107,97220.40816327,23819,0.81632653061224,,,2019-06-19,2019-06-19
2019-07-15,33,2278,1.030303030303,1,33,67000,2278,2.9411764705882,,,2019-07-15,2019-07-15
2019-03-05,242,14811,1.0537190082645,1,242,58082.35294118,14811,0.3921568627451,1,,2019-03-05,2019-03-05
2019-03-15,1400,153246,1.2742857142857,1,1400,85900.22421525,153246,0.056053811659193,1,,2019-03-15,2019-03-15
2019-06-10,396,29404,1.3333333333333,1,396,55689.39393939,29404,0.18939393939394,,,2019-06-10,2019-06-10
2019-08-31,361,47383,1.016620498615,1,361,129108.99182561,47383,0.2724795640327,,,2019-08-31,2019-08-31
