Date,CTG,BID,VCB
2019/03/18,23400,35900,66800
2019/03/15,22700,35800,65200
2019/03/14,22500,34800,66200
2019/03/13,22550,34200,64400
2019/03/12,22100,34100,64000
2019/03/11,21100,32250,61800
2019/03/08,21200,32600,62000
2019/03/07,21500,33500,62300
2019/03/06,21300,33350,61900
2019/03/05,21250,33200,62200
2019/03/04,21200,32200,62000
2019/03/01,20800,31450,61400
2019/02/28,20800,31100,59700
2019/02/27,21150,32200,61100
2019/02/26,21350,32200,62200
2019/02/25,21300,32600,62600
2019/02/22,21100,32600,61200
2019/02/21,20400,32850,59300
2019/02/20,20600,32600,58300
2019/02/19,20500,31500,58200
2019/02/18,20900,32100,59200
2019/02/15,20800,31750,58500
2019/02/14,20850,31000,59400
2019/02/13,20850,31100,59000
2019/02/12,20850,31050,57800
2019/02/11,20700,30550,57300
2019/02/01,20100,30200,55700
2019/01/31,19700,30100,56000
2019/01/30,20450,30300,55900
2019/01/29,20750,30300,55900
2019/01/28,20350,30500,54700
2019/01/25,20200,30650,55000
2019/01/24,20450,31100,54600
2019/01/23,19950,31300,54600
2019/01/22,19550,31350,54400
2019/01/21,19450,31450,55000
2019/01/18,18200,30300,54000
2019/01/17,18450,30550,54400
2019/01/16,18700,30800,54600
2019/01/15,18900,31100,55100
2019/01/14,18800,30500,54500
2019/01/11,18800,30500,54400
2019/01/10,18850,31100,54200
2019/01/09,18350,31600,55000
2019/01/08,17900,30600,54200
2019/01/07,18150,30900,53800
2019/01/04,18350,30150,53600
2019/01/03,18100,30600,52800
2019/01/02,19000,32100,52800
2018/12/28,19300,33000,52700
2018/12/27,19350,32600,52700
2018/12/26,19300,31200,52000
2018/12/25,19700,31350,51900
2018/12/24,20350,32600,52300
2018/12/21,20850,32600,53700
2018/12/20,20200,32550,53800
2018/12/19,20400,31900,53600
2018/12/18,21450,32250,54300
2018/12/17,21650,31800,54000
2018/12/14,22350,32500,55700
2018/12/13,23150,32900,56800
2018/12/12,23500,33250,57200
2018/12/11,23300,32150,56000
2018/12/10,23100,32300,56100
2018/12/07,24050,32300,56400
2018/12/06,23950,32300,56100
2018/12/05,24100,32450,57000
2018/12/04,23900,32000,56800
2018/12/03,24150,32150,57200
2018/11/30,23000,30000,54600
2018/11/29,22850,29850,54200
2018/11/28,22750,30150,54300
2018/11/27,22300,30050,52600
2018/11/26,22500,30250,53200
2018/11/23,22450,30300,53200
2018/11/22,22950,30450,54000
2018/11/21,23300,30600,54600
2018/11/20,23200,30300,53000
2018/11/19,23050,30800,53200
2018/11/16,21950,30800,52400
2018/11/15,21250,29600,52600
2018/11/14,21200,28600,52400
2018/11/13,22000,29600,52800
2018/11/12,22450,30800,53800
2018/11/09,22600,30300,53500
2018/11/08,23200,31050,54900
2018/11/07,23250,31050,54700
2018/11/06,23250,30600,55000
2018/11/05,23500,31400,55700
2018/11/02,23500,31050,55400
2018/11/01,22850,28950,54200
2018/10/31,23400,28100,54800
2018/10/30,22200,26200,53400
2018/10/29,22100,27500,52100
2018/10/26,22500,29200,52700
2018/10/25,23000,29800,54000
2018/10/24,23200,31200,54700
2018/10/23,23650,33500,55000
2018/10/22,24450,33600,56300
2018/10/19,24700,33200,56900
2018/10/18,24850,33200,57200
2018/10/17,25300,33200,58400
2018/10/16,25150,32100,58400
2018/10/15,24750,31200,58300
2018/10/12,25400,32400,59100
2018/10/11,24600,31500,56900
2018/10/10,26450,33950,60900
2018/10/09,26700,34700,60900
2018/10/08,26850,34600,60800
2018/10/05,27100,34100,61300
2018/10/04,27700,35350,61400
2018/10/03,27500,35250,61400
2018/10/02,27100,34800,61400
2018/10/01,27050,33350,60900
2018/09/28,27550,33800,61400
2018/09/27,27600,33250,61800
2018/09/26,27650,33500,62200
2018/09/25,27800,33600,62800
2018/09/24,28000,33500,63600
2018/09/21,28100,33900,63000
2018/09/20,27450,34100,62800
2018/09/19,26800,33900,61700
2018/09/18,26900,33850,61700
2018/09/17,26600,32800,61300
2018/09/14,26950,33450,62400
2018/09/13,26650,33600,61300
2018/09/12,26500,33350,61000
2018/09/11,26950,33900,61400
2018/09/10,26200,32600,60400
2018/09/07,26500,32500,60400
2018/09/06,25900,31350,58700
2018/09/05,26050,31700,59000
2018/09/04,25900,31100,59400
2018/08/31,27150,33000,60900
2018/08/30,27600,33500,62200
2018/08/29,27000,32250,61500
2018/08/28,27250,32300,62400
2018/08/27,27200,32600,61500
2018/08/24,26100,32000,60400
2018/08/23,26100,31650,61000
2018/08/22,26250,31100,60300
2018/08/21,26500,31600,61100
2018/08/20,25700,30000,59800
2018/08/17,26000,29700,60400
2018/08/16,26150,28600,59000
2018/08/15,25200,27900,59000
2018/08/14,25300,28600,61200
2018/08/13,25750,29100,62200
2018/08/10,24250,28500,61900
2018/08/09,24050,27450,59700
2018/08/08,23950,27800,60500
2018/08/07,23050,26050,59900
2018/08/06,22850,25450,57400
2018/08/03,22850,25150,56900
2018/08/02,22950,24800,57400
2018/08/01,23200,24900,57000
2018/07/31,23600,24900,56900
2018/07/30,23850,24900,55700
2018/07/27,23400,23400,54900
2018/07/26,23000,22700,55100
2018/07/25,22800,22200,53700
2018/07/24,23550,23400,55400
2018/07/23,23600,23400,55000
2018/07/20,24700,24000,55200
2018/07/19,24400,24400,55200
2018/07/18,24900,24750,55900
2018/07/17,24000,23500,54200
2018/07/16,22800,22750,53300
2018/07/13,22600,22100,53200
2018/07/12,21800,21600,50800
2018/07/11,20900,20700,49600
2018/07/10,22350,22250,51500
2018/07/09,22100,21900,52400
2018/07/06,21900,21700,53400
2018/07/05,20500,20200,50400
2018/07/04,21900,21500,54000
2018/07/03,21500,21650,54400
2018/07/02,23100,23350,56500
2018/06/29,24250,24600,56400
2018/06/28,24300,24500,56300
2018/06/27,25000,25400,56400
2018/06/26,26000,26400,57700
2018/06/25,26350,26800,57800
2018/06/22,25900,26100,57100
2018/06/21,25350,25400,55400
2018/06/20,26150,26600,56500
2018/06/19,25400,25400,54900
2018/06/18,25850,25900,54900
2018/06/15,27100,27600,57400
2018/06/14,26800,26900,56500
2018/06/13,27450,28250,58300
2018/06/12,27400,28200,56400
2018/06/11,28050,29600,57400
2018/06/08,28550,30100,58100
2018/06/07,28350,29800,57100
2018/06/06,28950,30400,57500
2018/06/05,28400,29000,57000
2018/06/04,27950,29100,57700
2018/06/01,27450,28300,55400
2018/05/31,27100,27850,52500
2018/05/30,25650,26200,50400
2018/05/29,26050,26200,48400
2018/05/28,24350,24400,45200
2018/05/25,26150,26300,48400
2018/05/25,26150,26300,48400
2018/05/24,27350,28250,51700
2018/05/23,28000,29050,52900
2018/05/22,27100,27900,51800
2018/05/21,28800,30100,54100
2018/05/18,29450,31550,54900
2018/05/17,29200,31600,55200
2018/05/16,29100,31800,55400
2018/05/15,29850,33200,57100
2018/05/14,29500,32900,56700
2018/05/11,29400,32600,56300
2018/05/10,28000,31300,54900
2018/05/09,30000,33600,57900
2018/05/08,30400,34100,59400
2018/05/07,30450,33350,60500
2018/05/04,28500,31100,57400
2018/05/03,29000,32300,58000
2018/05/02,27250,32200,56600
2018/04/27,29300,34700,58400
2018/04/26,28250,35100,56600
2018/04/24,30350,36600,58400
2018/04/23,31200,35300,58000
2018/04/20,33500,38050,62400
2018/04/19,31600,36600,59400
2018/04/18,33550,38800,63200
2018/04/17,34800,40500,65400
2018/04/16,34000,38600,64300
2018/04/13,34200,40600,66300
2018/04/12,35700,43000,69300
2018/04/11,35700,43100,69600
2018/04/10,37300,44100,72900
2018/04/09,37700,43000,72200
2018/04/06,35700,42600,71900
2018/04/05,35600,42600,71900
2018/04/04,35900,43400,71900
2018/04/03,36300,43700,72700
2018/04/02,36200,43600,72400
2018/03/30,34600,42000,68900
2018/03/29,35000,42600,69400
2018/03/28,35200,43150,68900
2018/03/27,35800,42700,69400
2018/03/26,35800,43500,70300
2018/03/23,34950,40950,68300
2018/03/22,35800,42900,70400
2018/03/21,36200,42100,71900
2018/03/20,36000,41100,72400
2018/03/19,36300,40300,72700
2018/03/16,36700,41400,73100
2018/03/15,36600,40300,72200
2018/03/14,35550,37600,72200
2018/03/13,35700,37800,70400
2018/03/12,33450,37200,70400
2018/03/09,32400,35850,69400
2018/03/08,31700,35800,67900
2018/03/07,31500,36100,68000
2018/03/06,32300,36250,69600
2018/03/05,30500,33800,66400
2018/03/02,32700,36400,70200
2018/03/01,32700,36400,69900
2018/02/28,33600,37600,72200
2018/02/27,32100,36750,71600
2018/02/26,30700,36700,70300
2018/02/23,30400,35700,69800
2018/02/22,28650,35400,65200
2018/02/21,27850,36000,64600
2018/02/13,27200,34000,62400
2018/02/12,26200,33150,61900
2018/02/09,24500,30900,59300
2018/02/08,24500,30800,61300
2018/02/07,25750,29800,61900
2018/02/06,24350,27800,60400
2018/02/05,26050,29950,61100
2018/02/02,28000,32300,65800
2018/02/01,27250,32300,65000
2018/01/31,27200,32800,65000
2018/01/30,28050,34600,65400
2018/01/29,28300,33200,66400
2018/01/26,27300,31100,67500
2018/01/25,26750,29000,66100
2018/01/22,25750,27050,61700
